"Unable to find language mapping with ID "%1"","L'association de langues avec l'ID "%1" n'a pas été trouvé"
"Unable to find language mapping with TextMaster ID "%1"","L'association de langues avec le TextMaster ID "%1" n'a pas été trouvé"
"Unable to find project attribute with ID "%1"","L'attribut projet avec l'ID "%1" n'a pas été trouvé"
"Unable to find project with ID "%1"","Le projet avec l'ID "%1" n'a pas été trouvé"
"Unable to find project with TextMaster ID "%1"","Le projet avec le TextMaster ID "%1" n'a pas été trouvé"
"Unable to find translatable content with ID "%1"","L'attribut traductible avec l'ID "%1" n'a pas été trouvé"
"Apply Translation","Appliquer la traduction"
"View detail","Voir le détail"
"No target language available","Aucun langage cible n'est disponible"
"No API Template available","Aucun API template n'est disponible"
"Unique Target language","Langue cible unique"
"This is a required field.","Ce champs est requis."
"title","titre"
"Language Mapping Form","Formulaire d'association de langages"
"Magento Locale Language","Magento Locale Langage"
"TextMaster Locale Language","TextMaster Locale Langage"
"Api Locale Language","Api Locale Langage"
"Add New Language Mapping","Ajouter une nouvelle association de langages"
"Delete language mapping","Supprimer l'association de langages"
"Are you sure to delete?","Voulez-vous vraiment supprimer ces associations de langage ?"
"Add Target Language","Ajouter un langage cible"
"API Template","API Template"
"Select Products","Sélection de produits"
"Select Categories","Sélection de catégories"
"Select Pages","Sélection de pages"
"Select Blocks","Sélection de blocks"
"Select Attributes","Sélection d'attributs"
"Product Attributes","Attributs produits"
"Category Attributes","Attributs catégories"
"Page Attributes","Attributs pages"
"Block Attributes","Attributs blocks"
"Enable To Translate","Activer la traduction"
"Enable To Translate And Select By Default","Activer la traduction et sélectionner par défaut"
"Disable Select By Default","Désactiver la sélection par défaut"
"Disable To Translate","Désactiver la traduction"
"Attribute Code","Code d'attribut"
"Translatable","Traductible"
"Select By Default","Sélectionner par défaut"
"The translation on the project %1 is being to be applied. Please wait.","L'application de la traduction sur le projet %1 est en cours. Veuillez patienter."
"Application of translations in progress","Application des traductions en cours de traitement"
"Translation has been applied on selected documents on the project %1","Les documents sélectionnés ont été traduits sur le projet %1"
