"canceled","Canceled"
"copyscape","Copyscape"
"counting_words","Counting words"
"quality_control","Quality control"
"premium","Premium"
"enterprise","Enterprise"
"product","Product"
"category","Category"
"page","Page"
"block","Block"
"Project Name","Project Name"
"Due Date","Due Date"
"Notes","Notes"
"Template","Template"
"Language Level","Language Level"
"Total Word Count","Total Word Count"
"Updated At","Updated At"
"Link To Textmaster","Link To Textmaster"
"See project on textmaster","See project on textmaster"
"Do you want to apply the translation for the selected attributes?","Do you want to apply the translation for the selected attributes?"
"Validate Quote","Validate Quote"
"* Translation can only be applied on documents which are "in_review" status","* Translation can only be applied on documents which are "in_review" status"
"Back","Back"
"Delete","Delete"
"Save","Save"
"Title","Title"
"Block requires","Block requires"
"Attribute Set","Attribute Set"
"Visibility","Visibility"
"Language Mapping Configuration","Language Mapping Configuration"
"Edit Language Mapping","Edit Language Mapping"
"The language mapping has been deleted.","The language mapping has been deleted."
"New Language Mapping","New Language Mapping"
"Manage Language Mapping","Manage Language Mapping"
"This language mapping does not exist","This language mapping does not exist"
"Total of %1 language mapping(s) were deleted.","Total of %1 language mapping(s) were deleted."
"The language mapping has been saved.","The language mapping has been saved."
"Language Mapping with same magento locale already exists. Magento locales can be mapped only once.","Language Mapping with same magento locale already exists. Magento locales can be mapped only once."
"Something went wrong while saving the languageMapping. %1","Something went wrong while saving the languageMapping. %1"
"The project has been deleted.","The project has been deleted."
"View Project","View Project"
"Manage Projects","Manage Projects"
"Manage Project","Manage Project"
"New Project","New Project"
"Edit Project","Edit Project"
"The project to delete does not exist.","The project to delete does not exist."
"Error while applying translation.","Error while applying translation."
"This project does not exist","This project does not exist"
"%1 %2(s) translations have been applied.","%1 %2(s) translations have been applied."
"%1 %2(s) translation applications have failed. Translation couldn\'t be applied on %2(s) %3","%1 %2(s) translation applications have failed. Translation couldn\'t be applied on %2(s) %3"
"You must select at least one %1 to translate","You must select at least one %1 to translate"
"You must add at least one Target language and one API Template","You must add at least one Target language and one API Template"
"The project has been saved.","The project has been saved."
"%1 projects have been saved.","%1 projects have been saved."
"Something went wrong while saving the project. %1","Something went wrong while saving the project. %1"
"Target languages could not be the same. Source and target pairs should be unique.","Target languages could not be the same. Source and target pairs should be unique."
"Templates could not be the same. Please check source and language pairs match appropriate template","Templates could not be the same. Please check source and language pairs match appropriate template"
"Error while validating the quote.","Error while validating the quote."
"The quote of the project %1 has been validated","The quote of the project %1 has been validated"
"Projects","Projects"
"View Project #%1","View Project #%1"
"Edit Language Mapping #%1","Edit Language Mapping #%1"
"Edit Project #%1","Edit Project #%1"
"This translatable content does not exist","This translatable content does not exist"
"Translatable Content Configuration","Translatable Content Configuration"
"Something went wrong while saving the attributes. %1","Something went wrong while saving the attributes. %1"
"All attributes selected will no longer be selected by default","All attributes selected will no longer be selected by default"
"Something went wrong while deleting the attributes. %1","Something went wrong while deleting the attributes. %1"
"All attributes selected have been disabled","All attributes selected have been disabled"
"All attributes selected have been enabled","All attributes selected have been enabled"
"All attributes selected have been enabled and selected by default","All attributes selected have been enabled and selected by default"
"An error occurred while connecting to API TextMaster","An error occurred while connecting to API TextMaster"
"Unable to find translatable content with ID "%1"","Unable to find translatable content with ID "%1""
"Unable to find document with TextMaster ID "%1"","Unable to find document with TextMaster ID "%1""
"Unable to find language mapping with ID "%1"","Unable to find language mapping with ID "%1""
"Unable to find language mapping with TextMaster ID "%1"","Unable to find language mapping with TextMaster ID "%1""
"Unable to find project attribute with ID "%1"","Unable to find project attribute with ID "%1""
"Unable to find project with ID "%1"","Unable to find project with ID "%1""
"Unable to find project with TextMaster ID "%1"","Unable to find project with TextMaster ID "%1""
"Unable to find translatable content with ID "%1"","Unable to find translatable content with ID "%1""
"Apply Translation","Apply Translation"
"View detail","View detail"
"No target language available","No target language available"
"No API Template available","No API Template available"
"Unique Target language","Unique Target language"
"This is a required field.","This is a required field."
"title","title"
"Language Mapping Form","Language Mapping Form"
"Magento Locale Language","Magento Locale Language"
"TextMaster Locale Language","TextMaster Locale Language"
"Api Locale Language","Api Locale Language"
"Add New Language Mapping","Add New Language Mapping"
"Delete language mapping","Delete language mapping"
"Are you sure to delete?","Are you sure to delete?"
"Add Target Language","Add Target Language"
"API Template","API Template"
"Select Products","Select Products"
"Select Categories","Select Categories"
"Select Pages","Select Pages"
"Select Blocks","Select Blocks"
"Select Attributes","Select Attributes"
"Product Attributes","Product Attributes"
"Category Attributes","Category Attributes"
"Page Attributes","Page Attributes"
"Block Attributes","Block Attributes"
"Enable To Translate","Enable To Translate"
"Enable To Translate And Select By Default","Enable To Translate And Select By Default"
"Disable Select By Default","Disable Select By Default"
"Disable To Translate","Disable To Translate"
"Attribute Code","Attribute Code"
"Translatable","Translatable"
"Select By Default","Select By Default"
"The translation on the project %1 is being to be applied. Please wait.","The translation on the project %1 is being to be applied. Please wait."
"Application of translations in progress","Application of translations in progress"
"Translation has been applied on selected documents on the project %1","Translation has been applied on selected documents on the project %1"
